title	rate	director	actor	category	showtime	length	box office	award	description
喋血街头	8.1	吴宇森	梁朝伟/张学友/李子雄/任达华/甄楚倩/袁洁莹/鲍起静/吴宇森	剧情/动作/惊悚/犯罪	1990	130	854	0	细荣(李子雄饰）、阿B（梁朝伟饰），辉仔（张学友饰）在石殎尾陡置区一同成长，三人情同手足，虽然各人家境贫困，年轻的心从没有失去对将来的幻想与憧憬。阿B因要与女友小珍（袁洁莹饰）结婚，众人各出奇谋为阿B筹钱。辉仔借来高利贷途中被劫，辉仔负伤往婚礼。及后，阿B与辉仔往复仇而误杀废强，细荣众人遂到越南逃亡。其时西贡市长外弛内张，对众人来说便是炼狱，更遇上越共刺杀越南政要，细荣遂决定要拼死捞一笔钱才离开越南。细荣远亲中、法混血儿阿乐（任达华饰）是职业杀手，阿乐得悉越南恶霸梁源盛在夜总会有黄金交易，遂与一众里应外合，激战后把黄金抢走，阿B为拯救一位香港女歌星陈秀青而险丧命……/                                    /                                　　吴宇森巅峰时期的野心力作，对情与义的探讨有其深邃之处，动作场面火爆亮眼。是港片不可多得的佳作。
十全九美	5.1	王岳伦	立威廉/黄奕/刘桦/邓家佳/李彧/李昌元/李晓川/汪涵	喜剧	2008	92	4884	0	木匠神人鲁班留下一本秘笈《缺一门》，根据书里的提示制造木艺，能有惊人效果；然而此书却有一副作用，即拥有此书者，总不能十全十美，永远有不可预料的祸处在等待。/                                    /                                　　若干年前，“鲁班传人”江南鹤带着这本秘笈出宫，凭着书内记载制造出快乐摇摇椅——让人返老还童。这引起了乾柜女老板和她骈头小六的歹心，他们谋害了江南鹤，并夺走了《缺一门》。/                                    /                                　　明朝太子朱笑天（立威廉 饰）一心成为鲁班那样的顶级木匠，微服出宫寻找《缺一门》，结识了江南鹤的师妹唐小蝶（黄奕 饰）。当他们发现江南鹤已经被老板娘杀害后，一路追寻老板娘到龙门镇——那里正准备着热闹的抛绣球之夜，龙门镇的名门望族南宫家正在招婿，乱打乱撞的老板娘和小六成为了京城艺人，而朱笑天更是接到了绣球。各路人马一起上演这场缤纷闹剧。/                                    /                                　　为了《缺一门》，大家都在拼命用力；然而，当它到手后才明白，自己最想得到的，恰恰就是永不能得到的。
花田喜事2010	5.2	黄百鸣 / 邱礼涛	黄百鸣/吴君如/古天乐/郑中基/潘粤明/熊黛林/杨颖/李香琴/田蕊妮	喜剧	2010	93	5984	0	花田国太后思女成疾，国王沧海（古天乐 饰）急召公主遗珠（杨颖 饰）回国冲喜。遗珠公主前往中原学习多年，并与中原护花大将军麦炳荣（郑中基 饰）私定终身。在大将军护送公主回国途中，从海上救起落水女子黄莺（熊黛林 饰），后一行人遭遇“索玛丽”海盗抢劫，混战之中公主落水失踪。破产富豪黄百万（黄百鸣 饰）走投无路，只好让从水中捞来的失忆公主遗珠假冒女儿黄莺投靠指腹为婚的亲家吴尚书，不料却遭尚书胞妹势利眼吴温柔（吴君如 饰）的百般刁难，一行人纠缠于尚书府笑料百出。此时，黄莺被送进皇宫封为郡主，而女扮男装的公主遗珠却被国王沧海挑中参加比武招亲。女扮男装的公主遗珠、护花大将军麦炳荣以及和黄莺一见钟情的尚书之子吴上进（潘粤明 饰），三人通过重重比试，在“武痴”国王沧海的裁决下居然判定手无缚鸡之力的遗珠获胜。有情人能否终成眷属，真公主能否顺利归位，一切在喜闹中终见分晓。...
花田喜事	7.5	高志森	张国荣/关之琳/许冠杰/毛舜筠/许冠英/吴君如/黄百鸣/吴孟达/黄霑	喜剧/爱情	1993	85	3548	0	富家子弟周通（许冠杰 饰）武功高强，到处仗势凌人，其妹妹周吉（吴君如 饰）也十分无理取闹。他们的母亲太君（许冠英 饰）一直想他们定性并能够成家立室。可是在周吉的新婚之夜，夫君林嘉声（黄百鸣 饰）忍受不了周吉而逃走了。自此，太君便茶饭不思，周通于是为母亲办寿筵冲喜，更想请 著名魔术师大围高栢飞（张国荣 饰）助兴。与此同时白雪仙（关之琳 饰）乔装出来逛花市，与高栢飞一见钟情。白父（吴孟达 饰）得知事情后以为女儿已怀孕，便找到高柏飞提亲，却误以为周通就是高栢飞。当周通见过白雪仙之后，便誓要得到美人。母夜叉（毛舜筠 饰）从逃难的高栢飞与雪仙口中得知了他们的遭遇后，便假扮新娘教训周通。周吉的丈夫林嘉声成为了状元，周吉想与夫君和好，却遭到了林嘉声拒绝……
决战刹马镇	6	李蔚然	孙红雷/林志玲/李立群/黄海波/甘薇/马健/曹炳琨/包贝尔	喜剧/西部/冒险	2010	104	4570	0	三十年代纵横西北的土匪胡栓子殒命刹马镇，而传说中他留下的宝藏也埋在了这里……多年之后，刹马镇村长唐高鹏（孙红雷 饰）为了发展经济，携带数件“文物”寻求专家鉴宝，希望达到宣传效果，而此行中，他拿出的胡栓子留下的金牌引起了文物大盗周定邦（李立群 饰）的注意，周定邦了解此金牌中隐藏了胡栓子宝藏的秘密，遂与毛总（黄海波 饰）合作，前往刹马镇以发展经济为名寻找宝藏。另一方面，周定邦派出的手下在刹马镇打听消息，阴错阳差将这里埋有宝藏的消息广播给全镇村民。唐高鹏与老相好春娘（林志玲 饰）等人希望发展旅游事业，周定邦一行的到来点燃了他们致富的梦想，而众人心照不宣关于宝藏的秘密则引发了各方一轮轮的明争暗斗……
人间喜剧	7.5	陈庆嘉 / 秦小珍	杜汶泽/王祖蓝/薛凯琪/罗凯珊/许绍雄/徐天佑/郑诗君/吴家丽/李曼筠/李力持/罗永昌/郑保瑞/郭子健/冯志强/潘恒生	喜剧	2010	100	714	0	年轻杀手司徒春运（杜汶泽 饰）和老前辈夕阳（许绍雄 饰）受雇从内地来至香港，由于消息走漏，二人中途分别，并相约在某大厦露台会面。身无分文的春运没有等到夕阳，却等来寒流与重感冒，最终昏倒在地。住在大厦内的小编剧诸葛头揪（王祖蓝 饰）发现春运，这个心地善良却又有点儿婆婆妈妈的小男人将其带回自己家中悉心照料。苏醒后的春运几度想杀头揪灭口，对方则一根筋地爱心泛滥，甚至大谈与野蛮女友徐天爱（薛凯琪 饰）浪漫又悲惨的恋爱史，全然不知危险所在。/                                    /                                　　随着时间的流逝，这个杀手和编剧之间的友情日益加深。春运冷酷的心渐渐融化，头揪也学会了坚强和自信……
无敌幸运星	6.8	陈友	周星驰/吴君如/陈友/黄秋生/梅小惠/成奎安	喜剧/动作	1990	90	1879	0	富商巢老爷临终立下遗嘱，将所有遗产都传给远在法国的女儿飞飞（吴君如 饰），遗嘱由巢二爷保管。巢老爷的不肖子秋千方百计想修改遗嘱，而二爷的不肖子大傻亦想取得遗嘱私自修改。一晚，幸运星（周星驰 饰）到巢家偷窃时被大傻抓住，见他偷窃有一手，大傻命令幸运星帮助自己偷遗嘱。而阿秋亦无意中发现在垃圾场专门捡垃圾的垃圾凤（吴君如 饰）样貌竟然和他妹妹飞飞一模一样，于是命令阿凤假扮其妹骗取二爷掌管的遗产。/                                    /                                　　就在二爷去迎接从法国回来的假飞飞（阿凤）的晚上，幸运星按大傻吩咐潜到了巢家大宅去偷遗嘱。不料事情败露，被二爷抓个正着。情急之下，幸运星谎称自己是飞飞多年前的男友，企图蒙混过关。而不知就里的阿凤怕露出马脚，也承认了幸运星是她的男友。于是一场笑料百出额遗产争夺战开始了。
即日启程	7.1	刘江	范伟/居文沛/刘桦	剧情/喜剧	2008	96	594	0	在塞浦路斯开餐馆的中年男人老崔（范伟 饰）回国跟妻子办离婚，却发现让自己后院起火的罪魁祸首是自己的朋友。老崔得知合伙人要卖掉塞浦路斯的餐馆，情场失意的老崔只想快点回到塞浦路斯挽救自己的事业。不料倒霉的事情并没有完，在老崔前往飞机场的途中，一个醉酒的女孩子小夏（居文沛 饰）忽然拦住了老崔的乘坐的出租车，好心的老崔本想只送小夏回家，没想后面却发生了一连串事情，搞到身无分文、护照失窍，曾至衣不遮体。情急之下，老崔只得和小夏合作，相互帮助，不料一波未平，一波又起，两人历经磨难，曾至还卷入到一场盗窃国宝的阴谋之中。在相处的过程中，两人的内心似乎也种下了一颗在渐渐发芽的种子……/                                    /                                　　该片是“中影集团青年导演电影制作计划”启动的第一部影片。
我老公不靠谱	6.5	阮世生	蔡卓妍/郑伊健/张歆艺/徐正溪/王祖蓝/郑欣宜/关楚耀	喜剧/爱情	2012	106	2596	0	十年前，念高中的YOYO（蔡卓妍 饰）应父母的要求到英国与指腹为婚的张十三（郑伊健 饰）完婚，两人商议假结婚却在这期间产生了真感情，并走过十年婚姻。经过十年磨砺，如今YOYO与十三的婚姻生活又是怎样的呢？ 年龄的差距让已到而立之年的十三越发渴望安定的生活，他与YOYO之间的摩擦不断升级。每到争吵时， YOYO便扬言要离婚，而十三对“离婚”这个词也渐渐习惯。 在十三和YOYO的一次吵架中，两人分居了，十三遇到女学生董怡（张歆艺 饰），YOYO遇到了青梅竹马的富家子林书浩（徐正曦 饰）……他们十年的爱情最终是否会继续下去呢？
龙的传人	6.9	李修贤	周星驰/梁家仁/毛舜筠/元华/李海生/龙方/叶子楣/元奎/成奎安	喜剧	1991	96	2376	0	周小龙（周星驰 饰）与父亲周飞鸿（元华 饰）生活在大澳，与师妹毛毛（毛舜筠 饰）是一对单纯的欢喜冤家。某天，小龙的师叔毛仁（梁家仁 饰）到大澳躲债，飞鸿托阿仁把儿子小龙带到香港发展，阿仁意外发现了小龙高超的台球技术，变决定利用小龙进行赌博。黑帮龙哥看中了周家大澳的田地，便要求阿仁以地皮为赌注。小龙面对对方的世界级高手，压力巨大因此输掉了比赛。毛毛为了鼓励小龙，把自家的田地也作为赌注，决定要再次把自己的土地赢回来，但压力仍然困扰着小龙，比赛一度落后……
行运一条龙	6.6	李力持	周星驰/葛民辉/陈晓东/郑秀文/杨恭如/舒淇/吴孟达/李兆基/田启文/陈彦行/谷德昭/吴君如/叶竞生/王书麒/黄美棋	剧情/喜剧/爱情	1998	99	2772	0	行运茶餐厅餐厅老板（吴孟达 饰）每天都乐于在茶餐厅中忙前忙后，他的儿子阿男（陈晓东 饰）却非常嫌弃，一次他在遇到了离家出走的富家女芳芳（舒淇 饰），芳芳还跟了他回家，父亲以为他们是男女朋友的关系。此时，阿福（葛文辉 饰）送外卖时遇到了Fanny（杨恭如 饰），便向何金水（周星驰 饰）这位情圣请教，可是何金水也遇上了当年的初恋情人Cindy（郑秀文 饰），Cindy借故报复当年的恩怨，令何金水患得患失。/                                    /                                　　茶餐厅被勒令收回，全茶餐厅的人都决定要抵抗到底……
新精武门1991	6.9	左颂升	周星驰/钟镇涛/张敏/元奎/尹扬明/成奎安/梁家树	喜剧/动作	1991	96	1991	0	从小右臂就具神力的大陆青年刘晶（周星驰 饰）来港不久便接连遭遇倒霉事，先是钱包被偷，而后行李也遭人抢劫，不过也因此结识放荡不羁的潇洒（钟镇涛 饰）。刘晶四处寻找工作，却迟迟未定，甚至还卷入黑帮斗争之中。走投无路之际，刘晶和潇洒决定参加散打比赛，更阴差阳错拜入具有黑社会性质的赵东拳馆。在黑社会师傅（成奎安 饰）的带领下，二人随同前去夜袭霍家拳馆的霍环师傅，籍此机缘，刘晶得以拜入霍师傅门下。二人都对师傅的女儿嘉敏（张敏 饰）存有好感，也由此闹出不少笑话。然而门下大师兄（尹扬明 饰）嫉恨刘晶，设计陷害，致使刘晶被逐出师门。他的未来将何去何从……
云水谣	6.9	尹力	陈坤/徐若瑄/李冰冰/归亚蕾/秦汉/梁洛施/朱茵/张致恒	剧情/爱情/战争	2006	117	3615	"1,2"	年轻的陈秋水（陈坤 饰）为少女王碧云（徐若瑄 饰）的弟弟雨萌当家庭教师，他清朗潇洒，有一套快乐的学习方法，两人一起唱歌学英文，简单快乐，很快就堕入爱河。然而陈秋水是左翼人士，为避难必须逃往大陆。虽然似乎是短暂的离别，但秋水离去前仍与王碧云私定终生，发誓矢志不渝。/                                    /                                　　但离别似乎很漫长 。秋水甚至与台湾失去了联络，但等待和思念仍埋在他的心中。部队护士王金娣（李冰冰 饰）对他坦言爱意，并展开追求。战争结束后，王金娣跟随秋水调至西藏，一路照顾无微不至。秋水亦多次寻碧云未果，决定把旧情藏于心底，不辜负决心随他的王金娣，二人成婚，但命运的嘲弄却在不远处。/                                    /                                　　秋水不知道，身在台湾的王碧云，终身未嫁，一生都在等待。
