title	rate	director	actor	category	showtime	length	box office	award	description
记忆大师	7.2	陈正道	黄渤/段奕宏/徐静蕾/杨子姗/梁杰理/许玮甯/王真儿/焦刚/张念骅/杜函梦/栾元晖/曹英睿	剧情/悬疑/惊悚/犯罪	2017	119	29291	0	故事发生在2025年，因为和妻子张代晨（徐静蕾 饰）婚姻破裂，男主角江丰（黄渤 饰）走进记忆大师医疗中心接受手术，却不料手术失误记忆被错误重载，他莫名其妙变成了“杀人凶手”。警官沈汉强（段奕宏 饰）的穷追不舍让他逐渐发现，自己脑内的错误记忆不仅是破案的关键，更是救赎自己的唯一希望。与此同时，妻子身边出现的女人陈姗姗（杨子姗 饰）、记忆中浮现出的神秘女子（许玮甯 饰），似乎也和真相有着千丝万缕的联系，一场记忆烧脑战也随之开始。
目击者之追凶	8.1	程伟豪	庄凯勋/许玮甯/柯佳嬿/李铭顺/李淳/陈彦允/郑志伟/汤志伟/卜国耕	悬疑/惊悚/犯罪	2017	117	8500	0	冲劲十足、富有野心的社会线记者小齐，在报导一则事故车还魂新闻时，意外发现9年前一宗肇事逃逸命案并不单纯，虽然提案不被长官邱哥重视，但相信直觉的小齐找上菜鸟警员阿纬帮忙，并说服女主管Maggie连手调查当年的真相。当小齐、Maggie 好不容易找到命案中唯一生还的受害者徐爱婷，并取得采访同意后 ，徐爱婷却无故失踪了…到底九年前被隐瞒的真相是什么？
逆时营救	4.8	尹鸿承	杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹	动作/科幻	2017	106	20123	0	单亲妈妈夏天（杨幂 饰）作为物理研究所的高级研究员，与所长共同研究出可使生物体穿越虫洞进行时间旅行的技术，当研究有了突破性进展时，儿子豆豆（张艺瀚 饰）却被神秘绑匪崔琥（霍建华 饰）绑架，为了挽救豆豆的生命，夏天冒险用未完成的粒子技术 返回1小时50分钟前，却令事情变得更加复杂，更遭遇到意想不到的困局：要去面对三个自己在时空旅行中的变异互博。而崔琥的背后故事也渐渐浮出水面……
喜欢你	7	许宏宇	金城武/周冬雨/孙艺洲/奚梦瑶/杨祐宁/张国柱/高晓松/林志玲/赵英俊/海佟	喜剧/爱情	2017	106	21074	0	一场意外让平凡的厨师顾胜男（周冬雨 饰）结识了霸道总裁路晋（金城武 饰）。之后，路晋入住了顾胜男所在的酒店，在并不知晓对方真实身份的情况下，顾胜男用一道“女巫汤”征服了路晋挑剔的味蕾，一位厨师和一位食客，两人在美食的联结下产生了奇妙的缘分。/                                    /                                　　路晋的失眠症日益严重，一次偶然中，他发现自己竟然在顾胜男家的沙发上酣然入睡，从此，这张沙发便成为了他的专属床位。随着时间的推移，在一餐一饭之中，顾胜男和路晋之间渐渐产生了懵懂的感情。然而路晋在父亲严苛而又独裁的教育下长大，顾胜男则向来大大咧咧毛手毛脚，个性和身份迥异的他们压抑着内心的感情，由此生出了诸多的误会。
“吃吃”的爱	5.6	蔡康永	徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦	喜剧/爱情/奇幻	2017	90	2750	0	想要在巨星姐姐面前证明自己的18线小演员上官娣娣（徐熙娣 饰），和多年期待真爱却在最后被狠狠出卖的空间站黑鸟面馆老板娘许春梅（徐熙娣 饰），当两个人的世界以想象不到的方式不期而遇，她们的命运会发生什么样的改变?
春娇救志明	7.2	彭浩翔	余文乐/杨千嬅/蒋梦婕/曾国祥/邵音音/秦沛/王晓晨/李程彬	剧情/喜剧/爱情	2017	121	17554	0	2009年，春娇志明后巷邂逅，演绎烟火世界中的极致浪漫。/                                    /                                　　2017年，饮食男女分分合合，志明仍未长大，春娇急需爱情救火。/                                    /                                　　相恋多年的春娇与志明，渐渐从“可遇不可求”的惊涛骇浪变成了普通的情侣。面临“中女危机”的春娇，深感颜值危机，可志明却还如同孩子一般无法长大。不仅两人平日生活磕磕绊绊不断，让春娇更为担心的是，家里的神秘来访者Flora不仅年轻漂亮，神经大条，还要跟志明借精生子。/                                    /                                　　想要修补二人关系的春娇策划了一场“重燃爱火”的台湾行，在台湾，两人的矛盾才刚刚开始……/                                    /                                　　八年爱情紧急SOS！世间红男绿女，且看春娇志明。/                                    /                                　　“志明与春娇”系列第三部温暖回归，好久不见，好救不贱！
嫌疑人X的献身	6.4	苏有朋	王凯/张鲁一/林心如/叶祖新/丁冠森/邓恩熙/成泰燊/赵阳/侯明昊/焉栩嘉/任熙青/李炳易/李宏/赵燕国彰	悬疑/犯罪	2017	112	40202	0	在刑警学院任职的物理天才唐川（王凯 饰）与中学教师石泓（张鲁一 饰）年少相识，因彼此对数学的共同兴趣而惺惺相惜，多年后唐川在调查一桩杀人案时， 身为石泓邻居的陈婧（林心如 饰）被列入警方的“嫌疑人”之中，石泓与唐川因此再度重逢，而唐川却在调查中发现了更大的秘密……被迫站在对立面的唐川、石泓由此展开了一场高智商对决，一步步推动故事走向既震撼人心又令人扼腕的结局。
美好的意外	5.5	何蔚庭	桂纶镁/王景春/欧阳娜娜/王元也/陈坤	喜剧/奇幻	2017	105	1762	0	李雨燃（桂纶镁 饰）是一位优秀的成功律师，过着高质量的白领单身生活，正在有条不紊地准备去海外留学充电，对美好的未来抱着无限的自信与憧憬。然而一次意外，让她发现自己置身于一个奇怪的场所——命运中转站，等待她的是一个意想不到的身份转变：全职太太。她的老公张涛（陈坤 饰 ）是一 位勤恳老实的设计师，女儿星星（欧阳娜娜 饰）是一个叛逆的青春期少女，儿子天天（王元也 饰）是一个天真温暖的男孩。从一位优秀的职业女性突然变成一个要照顾四口之家的家庭主妇的角色，雨燃从一开始强硬的抗拒、不适应到后来慢慢融入，开始用心温柔关爱家人。而当期限来临，转变后的李雨燃又将面临新的选择······
我不是潘金莲	6.7	冯小刚	范冰冰/郭涛/大鹏/张嘉译/于和伟/张译/李宗翰/赵立新/田小洁/范伟/高明/刘桦/黄建新/李晨	剧情/喜剧	2016	140	48372	"1,3"	一个普通的农村妇女李雪莲（范冰冰 饰），为了纠正一句话，与上上下下、方方面面打了十年交道。打交道的过程中，她没想到一件事变成了另一件事，接着变成了第三件事。十年过去，她没有把这句话纠正过来，但她饱尝了世间的人情冷暖，悟明白了另外一个道理。李雪莲要纠正的这句话是她前夫说的。她前夫说：你是李雪莲吗？我咋觉得你是潘金莲呢？李雪莲要告诉大家的是：我不是潘金莲。
傲娇与偏见	5.1	李海蜀 / 黄彦威	迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/披拉·尼迪裴善官/周海媚/樊野/李彧	喜剧/爱情	2017	108	12425	0	北漂网络写手唐楠楠（迪丽热巴 饰）脑洞大于常人，整日穿行在各种“白日梦”之中，梦想着有一天能成为网文大神，然而在她误打误撞毁掉了贱萌海龟男朱侯（张云龙 饰）为追求女神精心布置的告白仪式之后，这对冤家阴差阳错之下被迫带着各自的傲娇与偏见开始了同居生活。朱侯的高富帅好基友萧见君（高伟光 饰）因对唐楠楠一见钟情展开猛烈攻势，却不料遭到朱侯再三阻挠。当“傲娇”任性撞上“偏见”无理，一场鸡飞狗跳的脱线恋情正在袭来，一次跨越银河系的世纪大和解即将上演。
京城81号2	4	钱人豪	张智霖/梅婷/钟欣潼/耿乐/邬君梅/王水林/陈冲/高捷/林雪/连凯/万国鹏/披拉·尼迪裴善官	剧情/悬疑/惊悚	2017	93	21881	0	《京城81号2》取材自东方四大鬼宅之首的京城81号地宫真实故事。/                                    /                                　　民国末期，正逢乱世，京城军阀哗变，少帅张骘生（张智霖 饰）被逼迎娶大军阀之女纪金翠（钟欣潼 饰），随即府内怪事丛生，人心惶惶。不久后京城涌现大批“尸婴案”，一切矛头指向少帅原配夫人钮梦鹤（梅婷 饰），随后 钮梦鹤离奇失踪，一夜之间京城81号惨遭灭门，留下一座破败鬼宅。/                                    /                                　　百年后，文物修复师宋腾在修复古宅过程中挖出大量婴儿尸骨与诡异符咒，一桩桩血淋淋的旧事似乎要将所有人拉进深渊，前世今生的恩怨情仇都一一浮现，而地宫冤魂鬼门索命的故事也就此拉开……
拆弹专家	6.4	邱礼涛	刘德华/姜武/宋佳/吴卓羲/姜皓文/王紫逸/黄日华/石修/廖启智/张竣杰/蔡瀚亿/张继聪/李国麟/骆应钧/尹扬明/卢惠光/何华超	动作/悬疑/犯罪	2017	120	40049	0	章在山（刘德华 饰）是香港警队“爆炸品处理科”的一名高级督察。七年前，他潜伏到头号通缉犯火爆（姜武 饰）的犯罪团伙中，在一次打劫金库的行动中，章在山表露了其拆弹组卧底的身份，与警方里应外合，成功阻止炸弹引爆，并将火爆及其弟的犯罪组织一网打尽，可惜在千钧一发之间，火爆逃脱并扬言誓要报仇。复职后的章在山很快被晋升为警队的拆弹专家。七年后，香港接二连三遭遇炸弹恐怖袭击，警方更收到线报大批爆炸品已偷运入港，一切迹象显示香港将有大案发生。就在香港人心惶惶之际，城中最繁忙的红磡海底隧道被悍匪围堵拦截，数百名人质被胁持，终于现身的火爆威胁警方炸毁隧道。章在山唯有将火爆绳之于法，才能拆解这场反恐风暴背后的惊天阴谋。
驴得水	8.3	周申 / 刘露	任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/查尔斯·亚瑟/王峰	剧情/喜剧	2016	111	17305	0	一群“品行不端”却怀揣教育梦想的大学教师，从大城市来到偏远乡村开办了一所小学校。学校待遇惨淡、生活艰苦，但老师们都自得其乐，每天嘻嘻哈哈打成一片。然而教育部特派员要来突击检查的消息打破了安宁，因为学校有一位“驴得水老师”隐藏着不可告人的秘密。就在所有人都担心丑事即将败露的时候，一个神奇天才的出现拯救了大家，然而谁能料到真正的麻烦才刚刚开始……
非凡任务	6.4	麦兆辉 / 潘耀明	黄轩/段奕宏/郎月婷/祖峰/邢佳栋/王耀庆/王砚辉/丁勇岱/肖聪/李晓川/赵炳锐/代乐乐/陶海	剧情/动作/犯罪	2017	122	15643	0	林凯（黄轩 饰）是李建国（祖峰 饰）安插在贩毒集团的卧底，他逐步渗透到“双鹰”贩毒集团后，发现幕后头目“老鹰”（段奕宏 饰）与八年前李建国作为卧底调查的贩毒集团有关，还囚禁了当时李建国的上级，最终林凯与李建国巧妙配合捣毁了整个贩毒集团。
罗曼蒂克消亡史	7.7	程耳	葛优/章子怡/浅野忠信/杜淳/钟欣潼/倪大红/赵宝刚/袁泉/闫妮/韩庚/霍思燕/杜江/王传君/钟汉良/马晓伟/吕行/乔笑笑/刘天阳/赵海涛/叶禾/周敬峰/杨露璐/松峰莉璃/松浦敬之/平田康之/张晓龙/郭晓小/小黑	剧情/动作/悬疑	2016	125	12297	1	一出上世纪30年代旧上海的群像戏——叱咤风云的帮派大佬，不甘寂寞的交际花，说着地道上海话的日本妹夫，只收交通费的杀手，被冷落却忠诚的姨太太，外表光鲜的电影皇后，深宅大院里深不可测的管家，偶尔偷腥的电影皇帝，荷尔蒙满溢大脑的帮派小弟，一心想要破处的处男，善良的妓女，随波逐流的明星丈夫，投靠日本人的帮派二哥，日理万机却抽空恋爱的戴先生。/                                    /                                　　战争之下，繁华落尽。帮派大佬逃亡香港，交际花不知所踪，日本妹夫死在上海，电影皇后被丈夫抛弃，处男遇上妓女，姨太太杀死二哥。战争惨烈，战争终于结束。
乘风破浪	6.8	韩寒	邓超/彭于晏/赵丽颖/董子健/金士杰/易小星/张本煜/李荣浩/高华阳/李淳/孙伊涵/熊黎/李春嫒/潘米/小马达/金毛期期/孙启恒/孙强/彭菲茗/贾川西/张国庆/程诚/白珞力/方励/郭佳杰/冷海鸣	剧情/喜剧	2017	102	104852	0	赛车手阿浪（邓超 饰）一直对父亲（彭于晏 饰）反对自己的赛车事业耿耿于怀，在向父亲证明自己的过程中，阿浪却意外卷入了一场奇妙的冒险。他在这段经历中结识了一群兄弟好友，一同闯过许多奇幻的经历，也对自己的身世有了更多的了解。
长城	4.9	张艺谋	马特·达蒙/景甜/佩德罗·帕斯卡/刘德华/威廉·达福/张涵予/鹿晗/彭于晏/林更新/郑恺/黄轩/陈学冬/王俊凯/余心恬/刘冰/李亨/李京沐/纽曼·阿卡/约翰尼·希科/皮鲁·埃斯贝克	剧情/动作/奇幻/冒险	2016	104	117456	0	电影《长城》讲述了在古代，一支中国精英部队为保卫人类，在举世闻名的长城上与怪兽饕餮进行生死决战的故事。欧洲雇佣军威廉（马特·达蒙 Matt Damon 饰）与同伴佩罗·托瓦尔（佩德罗·帕斯卡 Pedro Pascal 饰）不远万里来到中国盗取火药配方，意外发现了长城是为抵御60年降临人间一次的饕餮所建。长城内部机关重重，宛如“陆上航母”，由无影禁军世代镇守。在这里，威廉见识了饕餮的凶残，也见证了无影禁军的精锐和勇敢，并被这群战士之间的信任和牺牲所感动，义无反顾地加入到了共同守护人类的战斗当中。
功夫瑜伽	5.1	唐季礼	成龙/李治廷/张艺兴/索努·苏德/母其弥雅/迪莎·帕塔尼/艾米拉·达斯特/尚语贤/姜雯/张国立	喜剧/动作/冒险	2017	108	175259	0	考古学教授Jack（成龙 饰）多年没有踏出学校，校长和学生都对他添油加醋的历史半信半疑。一次授课后，一个印度女孩找到Jack，用一张千年地图吸引了Jack的目光。于是Jack和挚友的儿子李琼斯（李治廷 饰）、助教小光（张艺兴 饰）组成“寻宝小分队”，为“神秘宝石”展开冒险，在迪拜和土豪飙车，在冰岛潜入神秘冰穴，在印度大战土狼，和印度贵族斗舞，动作喜剧再升级，打笑全世界。
西游伏妖篇	5.6	徐克	吴亦凡/林更新/姚晨/林允/包贝尔/巴特尔/杨一威/大鹏/王丽坤/汪铎/张美娥	喜剧/动作/奇幻/古装	2017	108	165592	0	历经千辛万苦，唐僧（吴亦凡 饰）、孙悟空（林更新 饰）、猪八戒（杨一威 饰）、沙僧（巴特尔 饰）这支取经团队朝着最终的目标持续前进，然而这一过程中他们不仅忍饥挨饿，还矛盾频生，似乎随时都有分裂的危险。尤其法师念念不忘死去的段小姐（舒淇 饰），而这件事也成为他和悟空之间矛盾和争吵的根源。在摆脱了蜘蛛精的纠缠后，师徒四人来至充满童趣的比丘国。比丘国王（包贝尔 饰）精神错乱，如同孩子般喜怒无常。国师九宫真人（姚晨 饰）将师徒迎进王宫，虽百般叮咛，却仍引出不少的乱子，甚至还揪出了藏在宫中的狡猾妖怪。/                                    /                                　　冒险仍在继续，师徒间的危机一触即发……
绑架者	4.9	徐静蕾 / 杨翌舒	白百何/黄立行/明道/李淳/李玖哲/徐静蕾/梁天	动作/犯罪	2017	95	9572	0	重案组警察林薇（白百何 饰）的女儿突然失踪，唯一嫌疑人杨念（黄立行 饰）却在案发当夜横遭车祸并失去记忆。在追踪线索和回忆的逃亡路上，杨念不断遭人暗杀，一心找回女儿的林薇也不惜代价对他步步紧追，重案组组长陆然（明道 饰）在关键时刻对林薇施以援手。真相一层层剥开……
有完没完	5.4	王啸坤	范伟/贾静雯/刘俊昊/隋凯/宋阳/范湉湉/林更新/薛之谦/赵英俊/孔连顺/刘长生/于笑/李俊豪/柴蔚/张美娥/徐小溢/陈维涵/史耀中/肥龙/马洪磊/宋祖儿	剧情/喜剧	2017	99	3742	0	老范（范伟 饰）出生的那一天刚好是愚人节，他自己也觉得，自己的一生很可能就是一个笑话。早年间，妻子离开了老范，留下了儿子小范（刘俊昊 饰）和老范过着相依为命的生活。父子两人之间虽然感情十分亲密，但拮据的经济和困顿的生活让老范始终对小范怀有着愧疚的情绪。/                                    /                                　　这一天，老范似乎来到了人生的低谷，先是工作上出了纰漏被上司（范湉湉 饰）处罚，又在误打误撞之中惹恼了广场舞一哥（隋凯 饰），遭到了后者的报复和戏弄。之后遇见小范的班主任（贾静雯 饰），在这个美女面前闹了好大一个笑话。更糟糕的是，老范发现自己似乎跌入了时间的漏洞之中，被困在了这糟糕的一天之内。
摆渡人	4	张嘉佳	梁朝伟/金城武/陈奕迅/杨颖/张榕容/杜鹃/熊黛林/大鹏/马苏/崔志佳/贾玲/李宇春/鹿晗/欧弟/纳豆/金士杰/柯佳嬿/李灿森/喜翔/曹可凡/吴艺璇	喜剧/爱情	2016	128	48297	0	摆渡人是城市里的超级英雄，摆渡就是把人从痛苦中解救出来。用快乐和温暖，抵抗这个世界的悲伤。/                                    /                                　　酒吧老板陈末（梁朝伟 饰）和合伙人管春（金城武 饰）就是这座城市的“金牌摆渡人”，他们平时看起来吊儿郎当，却从不对每位需要帮助的人说拒绝，只要你“预约摆渡”，刀山火海都会“使命必达”。邻居女孩小玉（杨颖 饰）为了偶像马力（陈奕迅 饰），预约了他们的服务，但在帮助小玉挑战整个城市的过程中，陈末和管春也逐渐发现了自己躲不过的问题。从欢天喜地的生活，到惊天动地的疯狂，摆渡人最辉煌的篇章，从这里开启。
麻烦家族	4.6	黄磊	黄磊/海清/王迅/李立群/孙莉/魏大勋/张伟欣/任容萱/何炅/岳云鹏/孟非/闫妮/英达	剧情/喜剧/家庭	2017	103	3232	0	一对老夫妇结婚50周年前夕，丈夫问妻子想要什么生日礼物，得到的答案却是“离婚协议书”。老夫妻闹离婚的事件在家族里引起了轩然大波，家族中的每个人都借此事宣泄心中积攒的怨气，导致家里“乱成一团”。
七月与安生	7.6	曾国祥	周冬雨/马思纯/李程彬/李萍/蔡纲/蒙亭宜/沙全泽/姚欣言/李昊芳/蒋亭轩	剧情/爱情	2016	109	16695	3	七月（马思纯 饰）和安生（周冬雨 饰）的第一次相识在十三岁，她们一个是特立独行飞扬跋扈的“野孩子”，一个是单纯温婉循规蹈矩的“乖乖女”，从那一年开始，七月和安生几乎形影不离，她是她的光，她是她的影子，直到某一天，一位名为苏家明（李程彬 饰）的少年出现在了七月的身边，七月恋爱了。/                                    /                                　　安生决定前往北京讨生活，临别之前，七月意外的发现苏家明贴身带着的玉佩，竟然出现在了安生的衣领里。安生走了，七月和苏家明的恋情持续着，他们考入了同一所大学，约定一毕业就结婚。可是，事情并没有像七月所想象的那样发展，而她和苏家明之间的关系，亦因为安生的归来而产生了新的变数。
从你的全世界路过	5.3	张一白	邓超/白百何/杨洋/张天爱/岳云鹏/杜鹃/柳岩/廖学秋/曹卫宇/汪启楠/安韩瑾/潘肖/曹涤非/朱红/刘乐思/蓝可/梁超/张爱钦/张美娥	喜剧/爱情	2016	113	81422	0	陈末（邓超 饰）被称为全城最贱，每天和王牌DJ小容（杜鹃 饰）针锋相对，谁也不知道他们的仇恨从何而来。陈末的两个兄弟，分别是全城最傻的猪头（岳云鹏 饰），全城最纯的茅十八（杨洋 饰），三人每天横冲直撞，以为可以自在生活，结果都面临人生最大的转折点。陈末相遇了最神秘的幺鸡（张天爱 饰），猪头打造了最惨烈的婚礼，茅十八经历了最悲伤的别离，这群人的生活一点点崩塌，往事一点点揭开。梦想，爱情，友情都离陈末远去。一个失去所有的人，已经弄丢自己的路，直到听到来自全世界的一段语音……
追凶者也	7.6	曹保平	刘烨/张译/段博文/王子文/谭卓/王砚辉/颜北/孙磊/施宁/王云辉/张岳/岱江	剧情/喜剧/犯罪	2016	110	13589	0	一桩残忍凶案悄然发生在偏远的西部村寨，憨包汽修工宋老二（刘烨 饰）被警方推为首要疑凶。这让本来萍水相逢的三人：憨包汽修工宋老二、落魄古惑仔王友全（段博文 饰）、夜总会领班董小凤（张译 饰）命运彼此牵连在一起，在荒蛮西部上演了一场充满嬉笑怒骂的黑色逃杀。
健忘村	6.7	陈玉勋	舒淇/王千源/张孝全/曾志伟/杨祐宁/张少怀/许杰辉/林美秀/顾宝明/陈竹昇/柯宇纶/黄健玮	剧情/喜剧/奇幻/古装	2017	116	1604	0	《健忘村》的故事发生在一片世外桃源般的村落里，传说此地风水有帝王之相，石员外（曾志伟 饰）觊觎村中龙脉，企图与土匪联合屠村。有一天，一声惨叫打破了裕旺村的宁静，村民朱大饼意外中毒身亡，大饼的妻子秋蓉（舒淇 饰）成为了最大嫌疑人，这时“天虹真人”田贵（王千源 饰）手持神秘宝器“忘忧”路过村子。据说“忘忧”可以洗去人的记忆，控制人格。从此裕旺村变成了健忘村。荒诞爆笑，阴谋不断，其乐融融的世外桃源背后隐藏着一场血雨腥风。
微微一笑很倾城	5.1	赵天宇	井柏然/杨颖/李沁/王思聪/刘循子墨/吴倩/谭松韵/程伊/白宇/李现/王子杰/李九霄/王子桀/陈梦秦	爱情	2016	105	27584	0	本片讲述了一对大学风云人物肖奈（井柏然 饰）和贝微微（杨颖 饰）在虚拟游戏与真实世界中相识相爱的故事。计算机系花贝微微热爱网络游戏，技术娴熟高超，是游戏排行榜上唯一的女玩家，而她却因为不爆照片被认为是人妖，“惨遭”游戏里的“老公”的抛弃。在“前夫”的婚礼现场，她偶遇了游戏里的第一高手“一笑奈何”，更让她出乎意料的是，这名大神竟然向她求婚。/                                    /                                　　游戏里的高手“一笑奈何”正是现实中著名的计算机系大神肖奈。在一次偶然邂逅里，他无意中见识到贝微微熟练的游戏操作，由此对她产生了不一样的情愫，而贝微微却完全没意识到爱神的降临。闻名于校园的肖奈大神，开始了线上线下、虚拟与现实中全方位地捕猎美人心。一段始于二次元的奇幻网游爱情，悄然开始……/                                    /                                　　本片改编自顾漫的同名小说。
小情书	6.3	乔梁	赵顺然/朱颜曼滋/姜瑞佳/高子沣/杨青/赵健雷/任帅/刘丹/姜宏波/韩昊轩/马祥睿/邓震/伍宇辰柠/赵珍妮/张鑫凯	剧情/爱情	2017	100	290	0	宁静的小城，纯真的岁月，全城高考的紧张气氛凝聚的高中，由一场大胆的表白掀起了全校传递情书的风潮，一封知名不具的仰慕信展开了一个故事……
28岁未成年	5.7	张末	倪妮/霍建华/马苏/王大陆/潘斌龙/隋凯/刘冰/余心恬/汪汐潮/来喜/曲哲明	喜剧/爱情/奇幻	2016	109	12937	0	二十八岁的凉夏（倪妮 饰）本以为一定能够和相恋了十年之久的男友茅亮（霍建华 饰）一起携手步入婚礼的殿堂，并且一直为了迎接两人盛大的婚礼而做着各种各样的准备，心中充满了对婚后生活的美好幻想。茅亮的公司正在进行着紧张的第二轮融资，事情进行的并不是非常顺利，凉夏对婚姻的渴望带给了茅亮巨大的压力。/                                    /                                　　某日，两人一起参加了凉夏闺蜜白晓柠（马苏 饰）的婚礼，经受不住婚礼上浪漫热烈的氛围，凉夏向茅亮逼婚了，让凉夏没有想到的是，茅亮竟然提出了分手的要求，巨大的打击之下，凉夏崩溃了。一场意外的发生让凉夏的心智返回到了十七岁的年纪，此时外表成熟内心却极为幼稚的她遇见了名为严岩（王大陆 饰）的男子。
指甲刀人魔	4.4	关智耀	周冬雨/张孝全/纳豆/林辰唏/蔡洁/盛朗熙/郑伊健/谢依霖/许玮甯	喜剧/爱情	2017	100	450	0	西恩（张孝全 饰）是一个单纯善良的男孩，和女友拍拖多年，对她的感情十分深厚。然而令他怎么也没有想到的是，自己的耿耿忠心换来的却是对方的无情背叛，愤怒和痛苦之中，西恩选择了离开，与此同时，他内心里对于爱情的信仰永远的破碎了。为了不受伤害，西恩彻底的关闭了心扉。/                                    /                                　　一次偶然中，西恩邂逅了名为艾米丽（周冬雨 饰）的可爱女孩。艾米丽的大大咧咧活泼可爱渐渐治愈了西恩心中的伤痕，他开始想要再度尝试相信艾米丽，相信爱情。然而，这一次，西恩又要失望了，原来，看似单纯的艾米丽隐藏了一个诡异的秘密——她是一个靠吃指甲刀维生的指甲刀人魔。
大话西游3	3.6	刘镇伟	韩庚/唐嫣/吴京/莫文蔚/张超/张瑶/王一博/钟欣潼/谢楠/何炅/胡静/黄征/刘镇伟/曹承衍/周艺轩/元奎	喜剧/爱情/奇幻	2016	93	36604	0	在《大话西游之大圣娶亲》中死在牛魔王叉下的紫霞仙子（唐嫣 饰），将会通过月光宝盒预先看到这一下场，为了避免惨剧发生，她选择回到从前不让至尊宝（韩庚 饰）爱上自己。而至尊宝又再次重逢一直在等待他的白晶晶（莫文蔚 饰）。前世今生的种种爱恨纠葛再次在九道轮回里最后一次上演。
决战食神	4.7	叶伟民	葛优/谢霆锋/唐嫣/郑容和/白冰/杜海涛/王太利/黄秋生/詹瑞文/海鸣威/罗兰	剧情/动作	2017	98	12191	0	影片主要讲述了高天赐是广州一个小厨师，和来自法国拥有米芝莲三颗星荣誉的名厨安保罗，厨艺各有千秋，从一开始的争锋相对，到成为惺惺相惜的好友，并联手参加‘全球美食之王’大赛夺得冠军的故事。
神秘家族	5	朴裕焕	林依晨/姜武/陈晓/惠英红/蓝正龙/安琥/张岫云/楼学贤/郭耀仁/王道南/马国华/陈万号/张哲豪/林柔君/刘芷凌/杜知晨	剧情/悬疑/犯罪	2017	93	1487	0	苗苗（林依晨 饰）一家本来有着平静的生活，谁知在平安夜，家族的温馨聚餐却成为最后的晚餐。整个家族惨遭灭门，只有少女苗苗一人幸存。当她寻找惨案真相时，却发现家族中的每个人都在极力隐藏一个巨大的秘密，父亲（姜武 饰）、母亲（惠英红 饰）、弟弟（陈晓 饰）之间的 关系愈发扑朔迷离，而这一切都要从几个月前苗苗被神秘男子性侵的那个雨夜说起……
捉迷藏	5.4	刘杰	霍建华/秦海璐/万茜/春夏/董子健	悬疑/惊悚/犯罪	2016	105	7145	0	城市里流传着一个奇怪的传言。有一些流浪在外居无定所的人会偷偷潜入别人的家里，把自己隐藏起来，然后生活下去……/                                    /                                　　张家伟（霍建华 饰）是一家咖啡厅的老板，和妻女居住在一个高档小区里，生活富足，家庭和睦，不过他却患有严重的洁癖和强迫症，终日饱受心理疾病的折磨，一天，他接到了哥哥失踪询问电话，神经一下子紧张起来。到旧公寓寻找哥哥未果的家伟结识了跟哥哥居住在同一层的苏红（秦海璐 饰）母女，苏红对张家伟的哥哥表现出异常的恐慌和反感，失踪案件变得扑朔迷离。/                                    /                                　　与此同时，张家伟的妻女和家忽然间成为一个“神秘人”的袭击目标，张家伟一边抵挡着“神秘人”对家人的袭击，一边寻找哥哥，由此一步步揭开了一个隐藏在他心中多年的秘密……
三少爷的剑	4.9	尔冬升	林更新/何润东/江一燕/蒋梦婕/鲍起静/顾曹斌	剧情/动作/武侠/古装	2016	107	10074	0	“剑气纵横三万里，一剑光寒十九洲”，神剑山庄三少爷谢晓峰（林更新 饰）惊才绝艳，十年来历经上千大战未尝一败，被天下人尊为“剑神”。传奇剑客燕十三（何润东 饰）一直以谢晓峰为目标，苦修剑道，终于在生死边缘悟出惊天地泣鬼神的“绝命十三剑”。一时之间，江湖沸腾，然而，就在燕十三赶到神剑山庄下战书的时候，迎接他的，却是三少爷谢晓峰的灵柩。燕十三因痛失对手大感失望，此时神秘女子慕容秋荻（江一燕 饰）出现并告知燕十三，谢晓峰并没有死，要想找到他决战，燕十三就必须要替她杀一个人……
不期而遇	3.9	陈卓	张雨绮/张亮/王少雍/冷中易	喜剧/爱情	2017	94	709	0	捣蛋大王范小闲（张亮 饰）与正义少女李心（张雨绮 饰）从小就水火不容，一次争执后范小闲诅咒李心一辈子嫁不出去。长大成年后的范小闲虽事业有成，却遭遇婚姻、健康双重危机，李心也如他“诅咒”所说一直单身成为剩女……一对随时爆发、争执不断的冤家，怀揣各自不可告人的目的，挤进同一 辆车，行驶在美利坚美丽的公路上……
使徒行者	6.7	文伟鸿	张家辉/古天乐/吴镇宇/佘诗曼/许绍雄/黄长兴/朱璇/梁琤/李光洁/张慧雯	剧情/动作/犯罪	2016	109	60630	0	卧底阿钉（佘诗曼 饰）收到了一条神秘短信，追溯到神秘人郭铭的犯罪集团，其手下两名重臣少爷（古天乐 饰）和阿蓝（张家辉 饰）很可能是之前警队失联的卧底。而在捣灭犯罪集团的过程中，其中一人暴露身份也使这对情同手足的好兄弟陷入信任和生命危机。而卧底联络人Q Sir（吴镇宇 饰）和卧底阿钉也面多重危难。在迷雾中，一场激战蓄势待发……
